English Word,Persian Word
expansion path,مسیر توسعه ، مسیر بسط ، مسیر گسترش 
expect,انتظار داشتن
expectation,امید ریاضی ، مقدار مورد انتظار ، امید ، حد انتظار ، توقع ، انتظار 
expectation function,تابع انتظاری ، تابع امید ریاضی 
expectation of components of system,امید ریاضی اجزای دستگاه
expectation of frequency,امید ریاضی فراوانی
expectation of product,امید ریاضی حاصل ضرب
expectation of random variable,امید ریاضی کمیت تصادفی
expectation of relative frequency,امید ریاضی فراوانی نسبی
expectation of sum,امید ریاضی حاصل جمع
expectation variance model,الگوی انتظار پراکندگی
expectations of components of multidimensional random variable,امید ریاضی اجزای کمیت تصادفی چند بعدی
expecte monetary value,ارزش پولی مورد انتظار
expecte profit,سود قابل انتظار ، سود مورد انتظار 
expecte return,بازده منتظره
expecte time,زمان مورد لزوم ، زمان انتظاری 
expecte utility criterion,معیار مطلوبیت مورد انتظار
expecte value,امید ریاضی ، ارزش انتظاری ، ازش مورد انتظار ، میانگین ، ارزش منتظره ، ... 
expected,منتظره ، چشم داشت 
expected activity time,زمان مورد انتظار فعالیت
expected cell frequency,امید فراوانی خانه ، امید ریاضی فراوانی خانه 
expected frequency,فراوانی نظری ، فراوانی مورد انتظار 
expected normal scores,نمره‌های نرمال مورد انتظار
expected normal scores test,آزمون نمره‌های نرمال مورد انتظار
expected probability,احتمال مورد انتظار
expected value,مقدار مورد انتظار ، مقدار انتظاری ، مقدار امید ریاضی ، امید ریاضی ، م ... 
expected value of mean square,امید میانگین توان های دوم ، امید ریاضی ، میانگین های توان های دوم 
expected value of random variable,امید ریاضی کمیت تصادفی
expend,مصرف کردن ، از دست دادن 
expendable,قابل صرفنظر کردن
expenditure,تعهد پرداخت ، هزینه ی پرداخت ، مخارج ، هزینه ، خرج 
expense,هزینه ، خرج 
experience,تجربه ، تجربه کردن ، وارد کردن ، وارد بر ، آزمون ، تجربه ی تصادفی ، ا ... 
experiment,آزمایش
experiment conditions,شرط های آزمایش
experimental,آزمایشی ، آزمایش ، تجربه ای ، تجربی 
experimental analysis,تحلیل آزمایش ، تحیل آزمایش 
experimental conditions,شرایط آزمایشی
experimental data,داده های تجربی ، داده های آزمایشی 
experimental design,طرح آزمایش‌ها ، طرح آزمایشی 
experimental error,خطای آزمایش
experimental evidence,مدرک آزمایشی
experimental group,گروه آزمایشی
experimental method,روی تجربی ، روش آزمایشی 
experimental probability,احتمال آزمایشی ، احتمال تجربی 
experimental sample space,فضای نمونه ای آزمایشی
experimental sampling distribution,توزیع نمونه ای تجربی
experimental subjects,موضوعهای آزمایشی
experimental units,واحدهای آزمایشی
experimenter,آزمایشگر
stokes theorem,قضیه ی استوکس
stone cech compactification,فشرده سازی استون-چخ
stone theorem,قضیه ی استون
stone weierstrass theorem,قضیه ی استون-وایراشتراس
stone's rejection criterion,ملاک ردّ استون
stop point,نقطه ی توقّف ، نقطه ی توقف 
stop watch studies,زمان سنجی با کرونومتر
stopped distribution,توزیع متوقف
stopped-sum,مجموع‌متوقف
stopping,توقّف ، توقف 
stopping criterion,معیار توقف
stopping distribution,توزیع توقف
stopping number,عدد توقف
stopping rule,قاعده توقف ، قاعده ی توقف 
stopping time,زمان توقّف ، زمان ایست ، زمان توقف 
storage,ذخیره سازی
storage cost,هزینه ی انبار داری ، هزینه ی انبار 
storage space,حافظه
storage theory,نظریه انبارش
storage unit,واحد ذخیره ، واحد حافظه 
store,ذخیره کردن ، انبار کردن ، انبار ، مخزن 
store accounting,حسابداری موجودی انبار
store room,انبار ، انبار کالا ، مخزن 
storekeeper,انباردار
storekeeping,اداره ی امور انبار ، انبارداری 
store's stock,موجودی انبار
storing,انبارداری ، ذخیره 
storing expense,هزینه ی انبارداری
straight,قائـم ، مستقیماً ، راست ، مستقیم ، مستقیم الاضلاع ؛ نیم صفحه ، نیم فض ... 
straight angle,زاویه ی نیم صفحه ، زاویه ی دو قائمه ، زاویه ی نیمصفحه 
straight forward,آسان ، ساده 
straight line,خطّ راست ، خطّ مستقیم ، خط مستقیم 
straight line depreciation,استهلاک مستقیم
straight line method,طریقه ی مستقیم ، روش خط مستقیم ، ‌روش مستقیم 
straight lines,خط های مستقیم
straight oblique line,خط مایل مستقیم
straight oblique lines,خط های مایل مستقیم
straight parallel lines,خط های موازی مستقیم
straight perpendicular lines,خط های عمود بر هم مستقیم
straightedge,ستاره
straighten,راست کردن ، درست کردن 
straightening,تابگیری
straightness,استقامت
strain,دگروشی ، کُرنش 
strand,ردیف ، رشته 
strata,طبقه ها ، لایه ها ، طبقات ، 1  طبقه‌ها 2  لایه‌ها 
strata chart,نمودار چند لایه
strategic,تدابیر کلی و اساسی و دراز مدت ، راهبردی ، ‌ استراتژیک 
strategic control point,نقطه ی کنترل اساسی ، نقطه ی کنترل حساس و اساسی ، نقطه ی کنترل استراتژ ... 
strategic decisions,تصمیمات استراتژیک
strategic variable,متغیر استراتژیک
strategy,استراتژی ، روش ، شیوه ، راهبُرد ، راه کار ، راهبرد ، خط مشی 
strategy for a game,استراتژی بازی
strategy space,فضای استراتژی ها
straticied sampling,نمونه گیری طبقه بندی شده ، نمونه گیری از راه طبقه بندی ، نمونه برداری ... 
stratification,طبقه بندی ، طبقه بندی / کلمات مرتبط stratum multiple stratification o ... 
stratified,طبقه بندی شده ، طبقه ای ، مطبّق ، ‌مطبق ، ‌ طبقه 
stratified cluster sampling,نمونه برداری طبقه ای ، نمونه گیری با طبقه بندی 
stratified design,طرح طبقه‌بندی شده
stratified multistage sampling,نمونه‌گیری چندمرحله‌ای طبقه‌بندی شده
stratified random sampling,نمونه گیری از راه طبقه بندی
stratified sample,نمونه ی طبقه ای ، نمونه طبقه ای 
stratified sampling,نمونه برداری طبقه ای ، نمونه گیری طبقه بندی شده ، نمونه گیری با طبقه  ... 
stratifier,عامل طبقه‌بندی‌کننده
design of weldment,طراحی جوش
design review,مرور طرح
design workshop,کارگاه طراحی
designate,نمایش دادن ، نشان دادن ، مشخص کردن ، تخصیص دادن ، در نظر گرفتن ، تعیی ... 
designated vertex,رأس مشخص
designation,معرفی ، سمت ، نقش 
designer,نقشه کش ، طرح آفری ، طراح 
designing,طرح ریزی
desire,`+تمایل داشتن ، تمایل 
desired function,عمل مورد نظر
desk calculation,محاسبات دستی
desk calculator,ماشین حساب رومیزی
desktop,صفحه ی نمایش
despite,در صورت
destination,مقصد
destroy,خراب شدن ، از بین رفتن 
destructive dilemmas,قیاس ذوالوجهین منفی
destructive sampling,نمونه‌گیری نابودساز
destructive test,آزمایش تخریبی ، آزمایش مخرب 
destructive testing,آزمون کردن نابودساز
detachable part,قطعه ی قابل انفصال
detached,منفصل ، جدا ، جداگانه 
detachment,انفصال ، تجزیه ، تفکیک 
detail,مشخصات ، جزئیات ، تفصیلات 
detail drawing,رسم تفصلی
detailed,مفصل ، تفصیلی 
detailed network,شبکه ی تفضیلی
details,جزئیات ، تفصیل 
detect,کشف کردن ، آشکار ساختن ، یافتن 
detecting,ردیابی
detecting error,آشکار سازی خطا
detection,آشکارسازی ، کشف ، یافت ، تشخیص 
determinaning relation,رابطه تعیین کننده
determinant,دترمینان ، مبیّن ، معیّن ، نمایانگر ، سامانده ، جداگر ، تعیین کننده ، ... 
determinant equation,معادله ی دترمینان
determinant function,تابع دترمینان
determinant of a linear transformation,دترمینان یک تبدیل خطی
